generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,3,4,0
3000,3,4,1
4000,1,3,1
5000,1,3,1
6000,3,4,1
7000,2,4,0
8000,2,3,1
9000,2,4,1
10000,2,3,1
11000,1,2,1
12000,2,4,0
13000,1,2,1
14000,3,4,1
15000,2,3,1
16000,3,4,1
17000,3,4,1
18000,1,2,1
19000,3,4,1
20000,1,4,1
21000,1,4,1
22000,2,3,1
23000,2,3,1
24000,2,3,1
25000,3,4,1
26000,3,4,1
27000,2,3,0
28000,2,3,1
29000,2,4,1
30000,1,2,1
31000,1,2,0
32000,3,4,1
33000,1,4,1
34000,2,3,0
35000,1,2,1
36000,2,3,1
37000,3,4,1
38000,3,4,1
39000,1,2,1
40000,2,3,1
41000,1,3,1
42000,1,4,1
43000,1,2,1
44000,1,3,1
45000,2,4,0
46000,2,3,1
47000,3,4,1
48000,1,2,1
49000,1,4,1
50000,1,3,0
51000,1,2,0
52000,2,4,1
53000,1,4,0
54000,2,4,1
55000,2,3,1
56000,1,4,1
57000,3,4,1
58000,2,3,1
59000,3,4,1
60000,3,4,1
61000,3,4,1
62000,1,2,0
63000,1,2,1
64000,2,4,1
65000,2,3,1
66000,1,2,1
67000,2,4,1
68000,1,3,1
69000,3,4,0
70000,2,4,1
71000,2,4,0
72000,1,3,1
73000,2,3,1
74000,2,4,1
75000,2,3,1
76000,2,4,1
77000,1,4,1
78000,1,3,0
79000,3,4,1
80000,1,3,0
81000,1,4,1
82000,2,4,1
83000,2,3,1
84000,2,4,1
85000,1,3,1
86000,1,4,1
87000,1,3,1
88000,1,3,1
89000,2,4,1
90000,2,3,1
91000,1,3,1
92000,2,4,1
93000,1,2,1
94000,2,3,1
95000,3,4,1
96000,1,2,1
97000,3,4,1
98000,1,2,1
99000,1,3,1
100000,2,4,0
101000,3,4,1
102000,1,2,1
103000,2,3,1
104000,1,2,1
105000,3,4,1
106000,1,2,1
107000,1,2,1
108000,2,4,1
109000,3,4,1
110000,3,4,1
111000,1,2,1
112000,3,4,1
113000,1,2,0
114000,1,3,0
115000,2,4,1
116000,1,4,1
117000,2,3,0
118000,1,2,1
119000,1,4,1
120000,1,2,1
121000,1,3,1
122000,1,2,1
123000,3,4,1
124000,2,3,1
125000,1,3,1
126000,1,2,1
127000,3,4,1
128000,2,4,1
129000,1,3,1
130000,2,4,1
131000,2,3,1
132000,2,4,1
133000,2,4,1
134000,2,3,1
135000,2,4,1
136000,1,4,0
137000,1,4,1
138000,1,4,1
139000,3,4,1
140000,2,3,0
141000,1,4,1
142000,2,3,0
143000,2,3,1
144000,3,4,1
145000,1,2,1
146000,2,4,1
147000,2,4,1
148000,3,4,1
149000,2,4,1
150000,3,4,1
151000,1,4,1
152000,2,3,1
153000,1,3,1
154000,1,4,1
155000,1,2,1
156000,3,4,1
157000,1,2,1
158000,1,3,1
159000,2,3,0
160000,1,2,1
161000,3,4,1
162000,2,4,1
163000,1,4,1
164000,1,4,1
165000,2,3,1
166000,1,3,0
167000,2,3,1
168000,2,4,1
169000,2,3,1
170000,1,2,1
171000,1,3,1
172000,1,3,1
173000,3,4,1
174000,3,4,1
175000,1,2,1
176000,2,3,1
177000,1,2,1
178000,3,4,1
179000,3,4,1
180000,2,3,1
181000,1,2,1
182000,1,4,1
183000,2,3,1
184000,1,3,1
185000,1,3,1
186000,3,4,1
187000,2,3,1
188000,1,3,1
189000,2,3,1
190000,1,2,1
191000,2,3,1
192000,1,2,1
193000,1,4,1
194000,1,3,1
195000,1,2,1
196000,1,3,1
197000,1,2,1
198000,2,4,1
199000,1,2,1
200000,1,4,1
201000,2,4,1
202000,1,2,1
203000,1,3,1
204000,3,4,1
205000,2,4,1
206000,1,4,0
207000,1,2,1
208000,1,3,1
209000,3,4,1
210000,2,3,1
211000,2,4,1
212000,2,4,1
213000,1,2,1
214000,1,2,1
215000,1,4,1
216000,2,3,0
217000,1,3,1
218000,1,3,1
219000,1,4,0
220000,2,3,1
221000,2,3,1
222000,1,3,1
223000,1,3,1
224000,1,4,1
225000,2,4,0
226000,2,4,1
227000,2,3,1
228000,2,4,1
229000,2,4,1
230000,1,4,1
231000,2,4,1
232000,2,3,1
233000,1,4,1
234000,2,3,1
235000,3,4,1
236000,2,3,1
237000,3,4,0
238000,3,4,1
239000,1,3,0
240000,2,3,1
241000,2,4,1
242000,1,2,1
243000,1,4,1
244000,2,3,1
245000,1,4,1
246000,1,4,1
247000,3,4,1
248000,1,2,1
249000,3,4,1
250000,2,4,1
251000,2,4,1
252000,3,4,1
253000,1,4,1
254000,3,4,1
255000,1,2,1
256000,2,3,1
257000,1,3,1
258000,2,3,1
259000,1,2,1
260000,3,4,1
261000,1,3,1
262000,1,2,1
263000,3,4,1
264000,1,3,1
265000,1,2,1
266000,2,4,1
267000,1,4,1
268000,1,2,0
269000,2,4,1
270000,1,2,1
271000,2,4,1
272000,2,3,1
273000,1,3,1
274000,2,3,1
275000,2,4,1
276000,2,3,1
277000,1,4,1
278000,1,4,1
279000,1,4,0
280000,3,4,1
281000,1,2,1
282000,3,4,1
283000,1,3,1
284000,2,4,0
285000,1,3,0
286000,3,4,1
287000,1,2,0
288000,1,4,1
289000,1,2,1
290000,3,4,1
291000,3,4,1
292000,1,3,1
293000,1,4,1
294000,2,4,1
295000,2,3,1
296000,2,3,1
297000,2,3,1
298000,2,4,1
299000,1,3,1
300000,1,3,1
301000,1,3,1
302000,1,2,1
303000,3,4,1
304000,1,4,1
305000,1,2,0
306000,1,2,1
307000,1,4,1
308000,1,2,1
309000,1,3,1
310000,3,4,1
311000,1,2,1
312000,1,2,1
313000,1,4,1
314000,2,4,1
315000,1,2,1
316000,3,4,1
317000,1,4,1
318000,1,3,1
319000,1,3,1
320000,1,2,1
321000,1,4,1
322000,2,3,1
323000,2,3,1
324000,2,4,1
325000,1,4,1
326000,2,4,1
327000,1,3,1
328000,1,3,1
329000,1,3,1
330000,3,4,1
331000,1,4,1
332000,3,4,1
333000,1,3,1
334000,3,4,1
335000,1,4,1
336000,1,4,0
337000,1,2,1
338000,2,4,1
339000,3,4,1
340000,1,4,1
341000,3,4,1
342000,1,3,1
343000,3,4,1
344000,2,3,1
345000,3,4,1
346000,3,4,1
347000,1,2,0
348000,2,3,1
349000,2,3,1
350000,2,3,1
351000,3,4,1
352000,1,2,0
353000,1,4,0
354000,3,4,0
355000,1,2,1
356000,1,4,1
357000,2,3,1
358000,1,3,1
359000,3,4,1
360000,1,3,1
361000,3,4,1
362000,3,4,1
363000,1,3,1
364000,1,4,1
365000,1,3,1
366000,1,3,0
367000,2,4,1
368000,2,4,1
369000,1,4,0
370000,1,4,0
371000,1,2,1
372000,2,3,1
373000,2,4,1
374000,2,3,1
375000,2,3,0
376000,2,4,0
377000,1,4,0
378000,3,4,1
379000,3,4,1
380000,1,4,1
381000,3,4,1
382000,2,3,0
383000,1,3,1
384000,2,4,0
385000,3,4,1
386000,2,3,1
387000,3,4,1
388000,2,3,1
389000,1,4,1
390000,1,2,0
391000,2,4,1
392000,1,4,0
393000,2,4,1
394000,1,3,0
395000,1,2,0
396000,2,3,1
397000,1,2,1
398000,3,4,1
399000,1,3,1
400000,2,4,1
401000,1,3,1
402000,1,4,1
403000,3,4,1
404000,1,4,1
405000,1,3,1
406000,1,4,1
407000,2,4,1
408000,2,4,1
409000,2,4,1
410000,2,4,1
411000,1,4,1
412000,2,3,1
413000,1,2,1
414000,2,3,1
415000,2,4,1
416000,3,4,1
417000,2,4,1
418000,2,4,1
419000,1,2,1
420000,2,4,1
421000,1,3,1
422000,3,4,1
423000,1,4,1
424000,2,3,1
425000,2,4,1
426000,2,3,1
427000,1,2,1
428000,1,3,1
429000,1,4,1
430000,1,4,0
431000,2,3,1
432000,1,2,1
433000,1,4,0
434000,1,2,1
435000,1,4,0
436000,2,4,1
437000,1,3,1
438000,3,4,1
439000,1,3,1
440000,1,4,1
441000,2,3,1
442000,2,3,1
443000,2,3,1
444000,1,4,1
