generation,leftchild,rightchild,abstime,betainit,betashift
0,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.5,0
1000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.1563,-0.0346958
1000,Crotalus_catalinensis,Crotalus_atrox,18.7989,0.00784507,0.0263526
1000,Crotalus_stejnegeri,Crotalus_lannomi,17.3923,0.0172598,0.0566688
1000,Sistrurus_miliarius,NA,12.0303,0.00297362,-0.0590452
1000,Bothrops_neuwiedi,Bothrops_lutzi,17.0017,0.00749555,0.0254843
1000,Bothrops_brazili,Bothrops_jararacussu,19.3534,0.00231811,0.0546165
1000,Bothrops_fonsecai,Bothrops_alternatus,13.1951,0.0124013,0.0861454
1000,Bothrocophias_campbelli,NA,22.0652,0.0076188,0.00502649
1000,Bothrops_chloromelas,Bothrops_pictus,7.99038,0.0260472,0.0344146
1000,Cerrophidion_sasai,Cerrophidion_tzotzilorum,10.95,0.00615878,-0.0415007
2000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.157747,-0.0346958
2000,Gloydius_ussuriensis,Gloydius_intermedius,2.62936,0.00346224,0.0598587
2000,Ovophis_okinavensis,NA,16.5035,0.000481083,-0.0700375
2000,Crotalus_mitchellii,NA,17.5815,0.00533846,-0.00241116
2000,Bothrops_neuwiedi,Bothrops_lutzi,16.6908,0.00354105,0.0254843
2000,Bothrops_jararaca,NA,14.6453,0.0087451,0.0155784
2000,Crotalus_catalinensis,Crotalus_atrox,19.0619,0.00629167,0.0263526
2000,Sistrurus_miliarius,NA,12.518,0.00255351,-0.0590452
2000,Bothrops_brazili,Bothrops_jararacussu,18.9456,0.00200223,0.0546165
2000,Bothrops_pictus,NA,15.3232,0.0059411,-0.0309739
2000,Bothrocophias_campbelli,NA,13.8839,0.00467739,0.00259138
2000,Bothrops_chloromelas,Bothrops_pictus,7.94213,0.0109577,0.0344146
2000,Atropoides_occiduus,NA,21.2973,3.56964e-05,0.0120617
2000,Cerrophidion_godmani,NA,18.0913,0.00250602,0.00303016
2000,Cerrophidion_sasai,Cerrophidion_tzotzilorum,10.95,0.00460734,-0.0415007
2000,Bothriechis_schlegelii,Bothriechis_supercilliaris,14.7588,0.00646682,0.0357985
3000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.121027,-0.0346958
3000,Gloydius_ussuriensis,Gloydius_intermedius,2.33133,0.00137369,0.0598587
3000,Crotalus_stejnegeri,Crotalus_lannomi,12.3395,0.0234536,0.00341864
3000,Bothrops_neuwiedi,Bothrops_lutzi,16.0099,0.00575475,0.0109269
3000,Bothriechis_guifarroi,NA,21.9392,0.00534559,0.0155784
3000,Crotalus_catalinensis,Crotalus_atrox,18.9804,0.012417,0.0263526
3000,Bothrops_brazili,Bothrops_jararacussu,18.715,0.00188027,0.0546165
3000,Bothrops_barnettii,NA,16.6733,0.0118235,-0.0623459
3000,Bothrops_pictus,NA,15.1159,0.00558595,-0.117604
3000,Bothrocophias_campbelli,NA,13.5667,0.00192203,0.00259138
3000,Bothrops_chloromelas,Bothrops_pictus,8.02156,0.00558158,0.0344146
3000,Cerrophidion_sasai,Cerrophidion_tzotzilorum,10.7593,0.00555058,-0.0415007
3000,Bothriechis_schlegelii,Bothriechis_supercilliaris,14.2498,0.00646682,0.0357985
3000,Lachesis_stenophrys,NA,17.3827,0.005895,-0.0450297
4000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.0482515,-0.0346958
4000,Gloydius_ussuriensis,Gloydius_intermedius,2.33133,0.00104316,0.0147704
4000,Protobothrops_cornutus,Protobothrops_jerdonii,13.9574,0.00332341,0.0275927
4000,Protobothrops_cornutus,Protobothrops_tokarensis,12.0818,0.0125546,0.0714846
4000,Agkistrodon_contortrix,Agkistrodon_piscivorus,9.08073,0.0116784,0.0155784
4000,Bothrops_caribbaeus,NA,22.0986,0.00416626,-0.105912
4000,Bothrops_ammodytoides,NA,17.113,0.000391115,-0.0700375
4000,Bothrops_fonsecai,NA,21.694,5.77239e-05,-0.0696185
4000,Bothrops_chloromelas,Bothrops_pictus,5.05324,0.015477,0.0194335
4000,Bothrops_chloromelas,Bothrops_pictus,7.36126,0.00613035,0.0344146
4000,Cerrophidion_sasai,Cerrophidion_tzotzilorum,11.3281,0.00317965,-0.0415007
4000,Lachesis_melanocephala,Lachesis_stenophrys,16.9909,0.00222474,-0.0389414
5000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.0382824,-0.0346958
5000,Gloydius_ussuriensis,Gloydius_intermedius,2.29947,0.000386148,0.0598587
5000,Bothrops_chloromelas,Bothrops_pictus,7.62475,0.0043395,-0.0105315
5000,Cerrophidion_sasai,Cerrophidion_tzotzilorum,12.6061,0.00289637,-0.0479141
5000,Bothriechis_marchi,Bothriechis_bicolor,13.9167,0.0114996,-0.0567356
6000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.0242729,-0.0346958
6000,Gloydius_ussuriensis,Gloydius_intermedius,3.29301,0.000386897,0.0598587
6000,Bothrops_chloromelas,Bothrops_pictus,6.19002,0.00211474,0.0384415
7000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.0242729,-0.055215
7000,Gloydius_ussuriensis,Gloydius_intermedius,3.75861,0.000451935,0.0124302
7000,Bothrops_neuwiedi,Bothrops_mattogrossensis,14.4098,0.00184523,-0.0188233
7000,Agkistrodon_piscivorus,Agkistrodon_bilineatus,15.9677,0.00125885,-0.0438904
7000,Bothrops_chloromelas,Bothrops_pictus,7.02986,0.00163257,0.0384415
7000,Cerrophidion_sasai,NA,20.8999,0.00945722,0.0845373
8000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.0131168,-0.055215
8000,Gloydius_ussuriensis,Gloydius_intermedius,2.15207,0.00045364,0.0124302
8000,Bothrops_chloromelas,Bothrops_pictus,5.97116,0.00135944,0.0384415
9000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.0112305,-0.055215
9000,Gloydius_ussuriensis,Gloydius_intermedius,1.41225,0.000288108,0.0124302
9000,Crotalus_cerastes,NA,15.5699,0.00132141,-0.0574147
9000,Crotalus_totonacus,NA,16.7686,0.000156149,0.0899103
9000,Crotalus_lannomi,NA,22.0409,0.000597701,-0.0262606
9000,Bothrops_chloromelas,Bothrops_pictus,5.65499,0.00170838,0.0384415
10000,Gloydius_ussuriensis,Agkistrodon_contortrix,0,0.00784937,-0.055215
10000,Gloydius_ussuriensis,Gloydius_intermedius,1.37521,0.000288108,0.0124302
10000,Agkistrodon_contortrix,Agkistrodon_piscivorus,6.93226,0.000820944,0.0274241
10000,Crotalus_cerastes,NA,14.8672,0.00102508,-0.0574147
10000,Crotalus_enyo,NA,15.4825,0.00258226,0.0401327
10000,Crotalus_transversus,Crotalus_tancitarensis,19.0039,0.00712872,0.0328684
10000,Bothrops_jararaca,NA,16.5745,0.00239852,-0.0273074
10000,Bothrops_pictus,NA,17.9827,0.00600517,-0.0282114
