generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-59.4534,-290.062,1,1
1000,9,24.5924,-61.7861,8.13575,0.803
2000,15,68.9696,-28.176,7.93821,0.716
3000,13,54.692,2.71063,8.02404,0.691
4000,11,57.8941,67.7954,4.69052,0.714821
5000,4,24.0841,77.4219,1.04889,0.629
6000,2,15.8119,145.578,0.267162,0.537
7000,5,28.4067,191.346,5.36737,0.53
8000,2,16.4964,244.538,1.42922,0.488
9000,5,34.8387,267.028,1.52601,0.452
10000,9,59.0689,291.483,3.34212,0.419
11000,1,4.20878,298.557,0.146139,0.419144
12000,1,1.60151,298.314,0.429104,0.361
13000,0,6.14612,325.187,0.0311571,0.378333
14000,1,11.1274,306.021,0.956337,0.343
15000,0,5.37737,314.792,0.76314,0.371
16000,0,5.87629,319.212,0.249929,0.318
17000,0,5.1201,337,0.814667,0.297
18000,4,18.7204,306.965,3.18349,0.408422
19000,2,13.0308,311.209,1.01622,0.365
20000,1,3.79275,318.326,0.893463,0.383125
21000,2,13.4556,333.633,1.10573,0.3535
22000,1,7.73749,308.669,0.620021,0.373
23000,3,14.9591,326.221,4.19869,0.348
24000,3,17.0509,322.638,1.69334,0.38
25000,3,18.1042,328.348,0.537435,0.386
26000,0,2.14095,310.352,0.165246,0.343
27000,1,8.30679,330.314,0.289372,0.335
28000,4,19.7184,317.831,2.36522,0.382
29000,10,57.7476,295.018,2.28526,0.38
30000,4,15.1934,308.971,1.79807,0.3778
31000,4,20.214,331.067,1.9717,0.379
32000,6,31.6185,337.621,2.74945,0.389
33000,0,6.4233,320.145,0.121985,0.372241
34000,0,6.41519,327.599,0.131174,0.383
35000,2,9.39882,312.845,2.57622,0.388167
36000,3,18.4442,326.794,0.452538,0.368
37000,4,23.6456,320.558,2.59541,0.377
38000,3,18.4531,322.649,2.0541,0.363
39000,0,5.3211,327.936,0.684548,0.331955
40000,1,11.0129,325.851,1.59588,0.348
41000,4,24.8901,343.777,1.32486,0.363333
42000,5,23.8137,343.14,3.65625,0.3765
43000,0,6.10659,347.934,0.334405,0.331778
44000,1,9.99677,331.642,0.521201,0.32725
45000,0,5.30169,336.862,0.561096,0.31
46000,0,5.72819,339.424,0.199576,0.329
47000,2,15.9178,319.874,2.43886,0.328
48000,0,6.08221,346.762,0.488304,0.298
49000,8,44.4205,348.058,2.96118,0.343714
50000,4,22.5192,360.284,3.21536,0.357
51000,5,29.1849,358.407,1.83275,0.325
52000,3,17.3254,348.849,1.43389,0.285
53000,3,16.1924,337.858,1.84735,0.361
54000,4,23.3971,346.621,2.0624,0.326
55000,6,36.0042,336.345,2.69549,0.355
56000,0,6.66594,346.685,0.0653153,0.314125
57000,3,23.093,351.814,2.07051,0.327
58000,0,6.427,343.479,0.325147,0.293
59000,3,21.2099,345.082,3.33509,0.349
60000,2,16.6753,349.528,0.618688,0.311
61000,1,11.1485,341.263,0.530074,0.316
62000,0,6.22374,339.39,0.456171,0.297
63000,3,13.0882,327.782,3.65075,0.349375
64000,2,11.1683,332.595,1.52457,0.355
65000,3,14.9411,346.146,0.960759,0.332
66000,0,5.63586,354.459,0.596867,0.323474
67000,0,5.53818,350.798,0.661745,0.292
68000,12,68.4568,341.075,3.54073,0.366741
69000,9,45.7962,339.701,9.90354,0.336
70000,9,50.4388,358.196,4.40819,0.348
71000,6,35.5093,339.877,2.99605,0.332
72000,5,31.0531,342.518,0.888556,0.3542
73000,4,22.1342,340.109,3.19641,0.352
74000,0,5.9371,337.113,0.0118053,0.313
75000,0,5.76704,326.037,0.148455,0.32
76000,1,9.38587,331.368,1.05217,0.343
77000,4,19.3137,355.561,2.27827,0.350333
78000,6,31.5827,340.581,3.04788,0.326
79000,4,15.0674,346.422,1.75942,0.331
80000,4,19.9292,356.043,1.20553,0.32
81000,0,6.47413,333.736,0.164032,0.326737
82000,2,18.4704,326.312,0.356268,0.306
83000,0,6.50614,339.135,0.149019,0.34
84000,0,5.80845,350.063,0.887806,0.303
85000,4,21.073,355.811,1.87716,0.3364
86000,0,5.04692,332.694,1.116,0.3244
87000,0,5.75038,322.488,0.74269,0.320667
88000,0,5.8461,297.016,0.166293,0.3475
89000,0,5.62698,303.152,0.287104,0.409
90000,1,11.6413,320.925,0.78575,0.338
91000,4,20.7522,335.532,3.25753,0.324
92000,3,12.4928,341.35,2.24062,0.328
93000,1,4.81206,314.485,0.695918,0.373273
94000,1,8.72719,320.628,0.0936727,0.382
95000,1,8.19595,324.004,0.253569,0.336
96000,0,5.53316,337.784,0.558286,0.328
97000,0,5.76683,331.038,0.284464,0.338
98000,2,10.8881,320.897,0.724149,0.366333
99000,3,21.5924,322.886,0.405679,0.346571
100000,4,27.2217,320.554,1.24688,0.354
101000,7,40.4895,323.856,2.7883,0.349
102000,0,5.56463,318.352,0.502368,0.3364
103000,0,5.8149,326.011,0.280768,0.332
104000,3,21.8733,342.551,1.89556,0.33
105000,0,6.55168,352.722,0.116854,0.303
106000,1,10.7703,333.265,0.357704,0.339333
107000,1,11.9575,319.202,0.627662,0.342
108000,0,6.24354,326.789,0.407285,0.31
109000,2,17.6569,333.648,0.908934,0.314
110000,1,12.5907,327.539,0.435904,0.328
111000,2,15.7935,341.13,1.58712,0.328
112000,4,18.2874,338.756,5.50976,0.329
113000,7,39.6507,335.488,4.6595,0.32
114000,6,31.046,345.611,4.97521,0.332
115000,5,30.3353,343.712,1.41924,0.311
116000,1,9.61608,344.394,0.347025,0.317333
117000,0,6.47118,335.437,0.254521,0.306
118000,5,24.3909,320.506,3.07857,0.35625
119000,8,47.5235,348.259,5.67166,0.32675
120000,0,6.49474,335.906,0.226048,0.298
121000,0,5.12169,335.416,1.00497,0.3346
122000,3,20.738,345.133,2.24411,0.318333
123000,3,20.727,352.987,1.98237,0.302
124000,5,30.8834,349.45,4.228,0.313
125000,0,5.86716,335.095,0.215646,0.32925
126000,3,13.1234,322.828,2.10328,0.35275
127000,6,29.2694,335.753,5.21237,0.379
128000,3,13.9261,325.186,3.41453,0.362
129000,1,9.71829,352.181,1.39425,0.325556
130000,4,24.7609,320.646,5.21038,0.328
131000,1,12.3962,331.476,0.919756,0.388
132000,0,6.5252,336.983,0.0609068,0.302
133000,2,17.4658,328.252,0.655646,0.298
134000,1,12.824,332.281,0.0752687,0.325
135000,2,17.256,322.153,1.0766,0.324
136000,0,6.62116,336.143,0.0229988,0.309
137000,0,5.87179,317.598,0.195675,0.34225
138000,1,9.43693,332.303,1.89708,0.319
139000,1,12.3267,323.556,0.198568,0.327
140000,0,6.5407,323.485,0.0670701,0.296
141000,6,31.2466,349.854,4.78882,0.369385
142000,4,21.0827,353.531,3.14655,0.312
143000,4,24.4735,350.827,2.10028,0.302
144000,2,13.256,369.437,1.16691,0.317
145000,2,15.07,344.969,0.784553,0.316125
146000,2,13.7311,340.922,2.67638,0.309
147000,2,14.1929,344.773,1.90894,0.327
148000,3,20.7888,354.844,2.96476,0.308
149000,2,13.4011,348.989,2.87705,0.325
150000,3,21.403,336.499,2.48166,0.332
151000,0,6.23837,315.978,0.144729,0.314741
152000,0,6.31534,318.898,0.0800828,0.314
153000,1,11.9157,334.41,1.15075,0.313615
154000,3,16.8798,335.602,3.56439,0.34075
155000,2,2.96146,326.799,2.52323,0.352455
156000,2,4.96285,337.464,0.987888,0.355
157000,0,5.83769,334.073,0.358543,0.325667
158000,0,5.59513,337.333,1.09848,0.3216
159000,2,15.6104,326.829,2.56996,0.326
160000,3,16.6038,340.558,2.31615,0.33975
161000,3,20.2517,327.367,0.901224,0.341
162000,4,25.9654,321.657,2.05065,0.357
163000,0,6.60647,335.291,0.0501663,0.30175
164000,2,13.0487,334.69,1.83851,0.3575
165000,5,31.1293,341.649,2.11209,0.348
166000,4,23.0166,352.692,2.81134,0.348
167000,4,22.2881,334.551,4.4045,0.332
168000,9,51.9651,339.06,4.66513,0.345
169000,7,40.2069,321.222,5.46629,0.357
170000,0,6.39115,319.743,0.210483,0.3215
171000,0,6.21157,324.37,0.19309,0.332125
172000,4,24.8563,335.308,0.893727,0.3305
173000,4,24.9081,351.224,1.8983,0.344
174000,0,6.49857,342.218,0.170183,0.307
175000,1,5.94115,315.195,0.840769,0.368333
176000,1,3.97111,316.697,2.04804,0.37
177000,1,11.1989,349.284,1.10271,0.3175
178000,0,6.43106,345.176,0.304161,0.324
179000,0,6.35403,349.77,0.369729,0.289
180000,0,6.65111,329.605,0.0359347,0.309
181000,1,12.0842,347.464,0.920093,0.310571
182000,0,6.09942,316.634,0.378916,0.3222
183000,0,6.16117,323.12,0.434277,0.345
184000,1,12.148,317.182,1.29139,0.3115
185000,3,22.4864,345.601,0.642901,0.3325
186000,1,10.8196,323.806,1.34794,0.361
187000,2,14.9429,319.283,1.02381,0.329
188000,1,8.16465,336.833,0.794757,0.356917
189000,2,13.3009,342.389,0.85761,0.342
190000,1,9.92225,356.151,0.343051,0.326667
191000,1,8.96859,354.437,1.40466,0.315
192000,0,6.57446,348.262,0.072027,0.317909
193000,0,6.2397,355.167,0.510662,0.329333
194000,2,12.243,336.692,1.9641,0.3484
195000,0,6.04122,333.507,0.624818,0.287
196000,0,6.38884,323.79,0.311153,0.281333
197000,0,3.76697,331.704,0.102291,0.294667
198000,0,2.78922,335.962,1.1708,0.301
