"";"species";"habitat";"body size"
"1";"Agkistrodon_bilineatus";1;2,932346908
"2";"Agkistrodon_contortrix";1;2,981456167
"3";"Agkistrodon_howardgloydi";1;2,875061263
"4";"Agkistrodon_piscivorus";1;2,949145952
"5";"Agkistrodon_taylori";1;2,811575006
"6";"Atheris_barbouri";3;2,450249108
"7";"Atheris_ceratophora";4;2,562292864
"8";"Atheris_chlorechis";4;2,662285516
"9";"Atheris_desaixi";4;2,675319983
"10";"Atheris_hispida";4;2,676327734
"11";"Atheris_matildae";4;2,731991449
"12";"Atheris_nitschei";4;2,718224804
"13";"Atheris_squamigera";4;2,630682071
"14";"Atropoides_indomitus";3;2,761175813
"15";"Atropoides_mexicanus";1;2,871183608
"16";"Atropoides_nummifer";3;2,770483809
"17";"Atropoides_occiduus";3;2,823311175
"18";"Atropoides_olmec";3;2,765916794
"19";"Atropoides_picadoi";3;3,032618761
"20";"Azemiops_feae";1;2,756636108
"21";"Bitis_arietans";1;2,914754393
"22";"Bitis_armata";2;2,348304863
"23";"Bitis_atropos";2;2,692670699
"24";"Bitis_caudalis";2;2,469822016
"25";"Bitis_cornuta";2;2,639984248
"26";"Bitis_gabonica";3;3,058362749
"27";"Bitis_nasicornis";3;2,916015046
"28";"Bitis_peringueyi";2;2,414416203
"29";"Bitis_rhinoceros";3;3,130976692
"30";"Bitis_schneideri";2;2,336459734
"31";"Bitis_worthingtoni";2;2,553073531
"32";"Bitis_xeropaga";2;2,591064607
"33";"Bothriechis_aurifer";4;2,867299091
"34";"Bothriechis_bicolor";4;2,811407422
"35";"Bothriechis_guifarroi";4;2,814913181
"36";"Bothriechis_lateralis";4;2,832153952
"37";"Bothriechis_marchi";4;2,81720466
"38";"Bothriechis_nigroviridis";4;2,607276264
"39";"Bothriechis_rowleyi";4;2,868121743
"40";"Bothriechis_schlegelii";4;2,712649702
"41";"Bothriechis_supercilliaris";4;2,505149978
"42";"Bothriechis_thalassinus";4;2,828874628
"43";"Bothrocophias_campbelli";3;2,829303773
"44";"Bothrocophias_hyoprora";3;2,608407163
"45";"Bothrocophias_microphthalmus";3;2,649334859
"46";"Bothrops_alcatraz";4;2,664955206
"47";"Bothrops_alternatus";2;2,889612913
"48";"Bothrops_ammodytoides";2;2,654176542
"49";"Bothrops_asper";3;3,093946724
"50";"Bothrops_atrox";3;2,960708552
"51";"Bothrops_barnettii";2;2,778693779
"52";"Bothrops_bilineatus";4;2,731051272
"53";"Bothrops_brazili";3;2,925312091
"54";"Bothrops_caribbaeus";3;3,039909606
"55";"Bothrops_chloromelas";4;2,756636108
"56";"Bothrops_cotiara";1;2,862557284
"57";"Bothrops_diporus";2;2,701567985
"58";"Bothrops_erythromelas";2;2,680637631
"59";"Bothrops_fonsecai";1;2,889301703
"60";"Bothrops_insularis";4;2,819872822
"61";"Bothrops_itapetiningae";2;2,593286067
"62";"Bothrops_jararaca";3;2,920665053
