"","PollOvip","PlantStyle"
"Blastophaga_intermedia",-2.99573227355399,-0.916290731874155
"Blastophaga_malayana",-2.12026353620009,-0.916290731874155
"Eupristina_verticillata",-0.186329578191493,-0.0100503358535015
"Waterstoniella_brevigena",0.113328685307003,0.444685821261446
"Platyscapa_corneri",-0.301105092783922,0.122217632724249
"Platyscapa_fischeri",-0.579818495252942,-0.105360515657826
"Pleistodontes_plebejus",0.131028262406404,0.27763173659828
"Pleistodontes_rieki",-0.356674943938732,0.254642218373581
"Pleistodontes_rigisamos",-1.07880966137193,-0.083381608939051
"Wiebesia_brusi",-1.71479842809193,-0.755022584278033
"Wiebesia_frustrata",-1.42711635564015,-0.22314355131421
"Wiebesia_punctatae",-1.02165124753198,-0.342490308946776
"Ceratosolen_grandii",-1.10866262452161,-0.415515443961666
"Ceratosolen_medlerianus",-1.42711635564015,-0.867500567704723
"Ceratosolen_riparianus",-1.17118298150295,-0.693147180559945
"Ceratosolen_abnormis",-0.527632742082372,0.215111379616945
"Ceratosolen_armipes",-0.776528789498996,-0.198450938723838
"Ceratosolen_kaironkensis",-0.116533816255952,-0.0202027073175195
"Ceratosolen_appendiculatus",-1.07880966137193,-1.20397280432594
"Ceratosolen_bisulcatus",-1.77195684193188,-0.867500567704723
"Ceratosolen_corneri",-1.34707364796661,-0.693147180559945
"Ceratosolen_dentifer",-1.38629436111989,-1.04982212449868
"Ceratosolen_hooglandi",-1.66073120682165,-0.994252273343867
"Ceratosolen_nanus",-1.38629436111989,-0.941608539858445
"Ceratosolen_blommersi",0.00995033085316809,0.22314355131421
"Ceratosolen_vissali",-1.30933331998376,-0.527632742082372
"Ceratosolen_emarginatus",-0.994252273343867,-0.941608539858445
"Ceratosolen_nexilis",-0.544727175441672,-0.616186139423817
"Ceratosolen_capensis",0.157003748809665,0.559615787935423
"Ceratosolen_fusciceps",-0.0100503358535015,0.0198026272961797
"Kradibia_copiosae",-0.579818495252942,-0.430782916092454
"Kradibia_wassae",-1.23787435600162,-0.755022584278033
"Kradibia_jacobsi",-1.56064774826467,-0.356674943938732
"Kradibia_ohuensis",-1.23787435600162,-0.916290731874155
"Kradibia_salembensis",-1.71479842809193,-0.891598119283784
"Liporrhopalum_gibbosae",-1.96611285637283,-1.02165124753198
"Liporrhopalum_virgatae",-1.77195684193188,-1.10866262452161
"Dolichoris_vasculosae",-0.400477566597125,0.104360015324243
"Dolichoris_inornata",0.182321556793955,0.56531380905006
