LITTER	NAME	SPEED	BODY	TAIL
761	1	0.162074554	154	77
761	3	0.090189905	149	70
761	4	0.10823	        153	69
761	5	0.276094735	154	73
761	6	0.135317997	150	72
761	8	0.203252033	149	68
761	10	0.1926009	153	74
761	11	0.173301644	149	72
761	12	0.168957969	155	73
761	15	0.147275405	160	66
764	1	0.136612022	155	78
764	3	0.104660618	159	74
764	5	0.030443932	155	73
764	6	0.192666606	159	76
765	1	0.037735849	152	76
765	2	0.051652893	153	75
765	5	0.078370426	153	72
765	6	0.07527457	159	77
765	7	0.115306197	152	74
765	8	0.064143682	152	77
765	12	0.106715797	145	77
765	17	0.126767552	149	76
765	19	0.15503876	149	74
765	28	0.135995509	150	79
765	32	0.127507485	149	76
765	37	0.14931243	152	74
766	1	0.334448161	157	75
766	3	0.087796313	158	78
766	4	0.310104595	155	74
766	6	0.248756219	160	74
766	7	0.053937433	161	71
766	10	0.18115942	158	72
766	11	0.133782197	160	69
766	12	0.149700599	162	73
767	2	0.22010149	152	79
767	3	0.221603793	153	76
767	4	0.212406278	150	70
767	8	0.237420907	151	76
767	10	0.247858017	150	71
767	17	0.208463352	151	69
767	19	0.26440214	148	72
767	24	0.199898765	152	79
767	27	0.144512946	154	75
767	28	0.256614401	152	74
767	29	0.171125244	152	78
775	2	0.350444346	154	77
775	3	0.292499596	152	69
775	4	0.208659024	153	75
775	9	0.290560571	152	72
775	10	0.267542042	159	74
775	11	0.238095238	155	76
775	12	0.277487394	151	76
776	2	0.279436444	159	82
776	7	0.23015873	154	78
776	9	0.066050198	154	77
779	2	0.225035945	154	75
780	1	0.212335557	155	80
780	6	0.162577705	152	70
780	11	0.124185753	153	66
781	2	0.241725014	156	78
781	5	0.264914549	152	77
781	7	0.218818381	159	74
783	2	0.19047619	154	73
786	5	0.197787777	149	80
786	6	0.216450216	142	73
786	7	0.187866187	152	72
786	8	0.170209063	152	73
787	4	0.154798762	154	75
787	5	0.254452926	156	73
794	1	0.174216028	151	76
761	2	0.147791841	154.1814	72.2571
761	7	0.142857143	157.1814	79.2571
761	9	0.192678227	148.1814	73.2571
761	13	0.153443891	150.1814	72.2571
764	2	0.108546308	156.1814	69.2571
764	4	0.131984348	153.1814	70.2571
764	7	0.057937428	154.1814	72.2571
765	9	0.07057163	149.1814	70.2571
765	10	0.153099415	152.1814	77.2571
765	11	0.184338617	153.1814	77.2571
765	13	0.134408602	154.1814	78.2571
765	14	0.134150727	155.1814	78.2571
765	15	0.092336103	150.1814	72.2571
765	16	0.136578762	155.1814	75.2571
765	18	0.09718173	155.1814	75.2571
765	23	0.067069081	151.1814	73.2571
765	27	0.141643059	159.1814	74.2571
765	30	0.114416476	152.1814	79.2571
765	31	0.061425061	151.1814	73.2571
765	33	0.042973786	146.1814	76.2571
765	35	0.139275766	148.1814	77.2571
765	38	0.170357751	154.1814	74.2571
766	9	0.222744771	155.1814	74.2571
766	13	0.286532951	152.1814	73.2571
766	16	0.263840413	161.1814	77.2571
767	1	0.172249311	154.1814	74.2571
767	5	0.206261988	154.1814	74.2571
767	6	0.195440957	155.1814	74.2571
767	7	0.238691968	152.1814	73.2571
767	11	0.031030298	154.1814	78.2571
767	12	0.23125949	155.1814	74.2571
767	13	0.164744646	153.1814	77.2571
767	14	0.269667168	152.1814	76.2571
767	15	0.236406619	154.1814	75.2571
767	16	0.146881432	158.1814	73.2571
767	18	0.213255934	151.1814	74.2571
767	20	0.135232537	151.1814	75.2571
767	21	0.254452926	152.1814	71.2571
767	22	0.268870956	152.1814	73.2571
767	23	0.171074681	150.1814	71.2571
767	25	0.15600624	151.1814	75.2571
767	26	0.210012812	152.1814	75.2571
767	30	0.152722074	155.1814	75.2571
775	1	0.222717149	154.1814	68.2571
775	5	0.272797311	150.1814	72.2571
775	6	0.301204819	151.1814	71.2571
775	7	0.163087623	155.1814	70.2571
775	13	0.261676871	150.1814	74.2571
776	1	0.226925392	159.1814	79.2571
776	3	0.228035758	156.1814	74.2571
776	5	0.294985251	161.1814	76.2571
776	6	0.222222222	155.1814	71.2571
776	8	0.237413188	159.1814	72.2571
776	11	0.232018561	158.1814	74.2571
779	1	0.273972603	154.1814	80.2571
779	3	0.139808612	154.1814	75.2571
780	3	0.101936799	153.1814	73.2571
780	4	0.182866372	154.1814	75.2571
780	5	0.172711572	153.1814	73.2571
780	8	0.134952767	151.1814	73.2571
780	9	0.096976291	152.1814	76.2571
780	10	0.190949468	153.1814	74.2571
781	3	0.130548303	150.1814	77.2571
781	4	0.254692557	156.1814	80.2571
781	6	0.226708521	153.1814	76.2571
781	8	0.208333333	148.1814	76.2571
786	1	0.233359642	153.1814	69.2571
786	2	0.228683689	152.1814	73.2571
786	3	0.188871054	154.1814	72.2571
786	4	0.229885057	153.1814	71.2571
787	7	0.274733569	150.1814	70.2571
795	1	0.240963855	155.1814	71.2571
795	3	0.212866924	151.1814	71.2571
